datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,fear_greed_category,lightning_nodes,lightning_capacity_usd
2022-02-24,38389.0,18967508,728143685532.8901,457115906929.9758,0.37221744002979756,5457009.293284634,956898.0,23.0,Extreme Fear,20534.0,123801495.7
2022-02-25,39311.0,18968346,745664651373.8534,457070589645.0333,0.38702929151475607,8791997.688213378,942391.0,27.0,Fear,20534.0,133824611.5
2022-02-26,39194.0,18969127,743475975199.0918,456968378347.47144,0.3853622798973402,4315357.404312869,816478.0,26.0,Fear,20534.0,135512837.1
2022-02-27,37842.0,18969977,717861880796.291,456709569519.953,0.36379186339669384,7084699.623699664,792011.0,26.0,Fear,20534.0,134483154.5
2022-02-28,43363.0,18970939,822636862329.3257,458736196368.4593,0.4423588130131546,53271905.99627159,979415.0,20.0,Extreme Fear,20534.0,132858865.6
2022-03-01,44514.0,18971952,844517484458.3373,459418368726.20245,0.4559989850051861,9074128.745879408,1066004.0,51.0,Neutral,20534.0,150487342.0
2022-03-02,43881.0,18972802,832545537505.6207,459620407590.9814,0.4479336121744832,11074444.550614132,1100872.0,52.0,Neutral,20534.0,152428238.5
2022-03-03,42495.0,18973727,806288541399.7909,459838591477.32983,0.42968482389814466,11592996.094070423,1017862.0,39.0,Fear,20544.0,150436989.8
2022-03-04,39090.0,18974596,741716959397.9148,458919646596.1309,0.3812738932534902,7921632.237958125,966182.0,33.0,Fear,20544.0,143491837.7
2022-03-05,39466.0,18975364,748881746998.3239,458931977077.8292,0.3871769756475899,2875069.402005065,818445.0,22.0,Extreme Fear,20544.0,136183427.7
2022-03-06,38470.0,18976183,730013780975.0328,458850538359.82355,0.37144948449196924,3703012.880701105,784370.0,22.0,Extreme Fear,20544.0,135905676.0
2022-03-07,38076.0,18977108,722572384958.3142,458571383247.62213,0.3653627058082527,14122261.074619751,926136.0,23.0,Extreme Fear,20544.0,133046745.0
2022-03-08,38744.0,18978033,735284931666.3549,458688593263.4973,0.37617571976623443,9994394.906982351,963012.0,21.0,Extreme Fear,20544.0,135175408.6
2022-03-09,41897.0,18978896,795158807596.1483,459270715868.9577,0.4224163632703974,12475475.442216337,967729.0,22.0,Extreme Fear,20544.0,147014108.4
2022-03-10,39414.0,18979802,748069927653.9854,458770782111.6357,0.3867274098955132,8043188.56175717,1005045.0,28.0,Fear,20658.0,138254692.5
2022-03-11,38773.0,18980664,735937316095.409,459135478781.6747,0.3761214865178123,39908917.30048764,911121.0,22.0,Extreme Fear,20658.0,137187187.6
2022-03-12,38904.0,18981639,738461714583.5502,459161628782.19604,0.3782187759847012,5301799.284882547,818806.0,22.0,Extreme Fear,20658.0,138302940.2
2022-03-13,37826.0,18982583,718035205172.0715,459085822227.2068,0.36063605388653547,3734157.76631656,766162.0,21.0,Extreme Fear,20658.0,138045646.3
2022-03-14,39662.0,18983539,752925155348.1382,459363753547.81824,0.3898945329626857,6161878.906358009,935382.0,23.0,Extreme Fear,20658.0,137517817.6
2022-03-15,39350.0,18984408,747036476244.6073,459235626742.6445,0.3852567560673252,6168843.64811157,941485.0,21.0,Extreme Fear,20658.0,137451038.6
2022-03-16,41127.0,18985377,780811612010.2706,459872625616.2996,0.4110325480017957,14650052.65223502,1018750.0,24.0,Extreme Fear,20658.0,143013846.6
2022-03-17,40987.0,18986371,778194390020.2247,459517247926.6399,0.4095084032735094,21824226.756037936,1037510.0,27.0,Fear,20707.0,145230949.2
2022-03-18,41818.0,18987264,794009439196.0956,459800730430.292,0.4209127653497132,3455635.738751334,,25.0,Extreme Fear,20707.0,144908006.5
2022-03-19,42248.0,18988233,802214890807.9331,460030745754.71313,0.4265492313519595,5333553.841994862,887796.0,28.0,Fear,20707.0,149256638.0
