"DateTime","BTC price","Google Trends"
"2011-11-13 00:00:00",2.9863733033,9
"2011-11-14 00:00:00",2.2242244643,9
"2011-11-15 00:00:00",2.3223841157,11
"2011-11-16 00:00:00",2.5467809307,8
"2011-11-17 00:00:00",2.2790958358,9
"2011-11-18 00:00:00",2.1050660032,8
"2011-11-19 00:00:00",2.2034567218,8
"2011-11-20 00:00:00",2.2019895096,8
"2011-11-21 00:00:00",2.2798791654,8
"2011-11-22 00:00:00",2.3224585961,8
"2011-11-23 00:00:00",2.3303235675,9
"2011-11-24 00:00:00",2.4388790003,8
"2011-11-25 00:00:00",2.4961610029,8
"2011-11-26 00:00:00",2.471799969,11
"2011-11-27 00:00:00",2.4775649512,10
"2011-11-28 00:00:00",2.5412402522,10
"2011-11-29 00:00:00",2.7576984828,12
"2011-11-30 00:00:00",2.9660415459,10
"2011-12-01 00:00:00",3.08258945,9
"2011-12-02 00:00:00",3.1004023331,8
"2011-12-03 00:00:00",2.8038561853,9
"2011-12-04 00:00:00",2.819693976,11
"2011-12-05 00:00:00",2.8747962274,8
"2011-12-06 00:00:00",3.0253604515,9
"2011-12-07 00:00:00",2.9855024211,9
"2011-12-08 00:00:00",2.9918804831,7
"2011-12-09 00:00:00",2.9557919521,7
"2011-12-10 00:00:00",3.0689752671,7
"2011-12-11 00:00:00",3.2492688472,8
"2011-12-12 00:00:00",3.1873353565,11
"2011-12-13 00:00:00",3.2410884085,7
"2011-12-14 00:00:00",3.1550865044,7
"2011-12-15 00:00:00",3.2031385406,7
"2011-12-16 00:00:00",3.2091377773,8
"2011-12-17 00:00:00",3.1925417043,7
"2011-12-18 00:00:00",3.1940108089,8
"2011-12-19 00:00:00",3.5257739193,7
"2011-12-20 00:00:00",3.9525508273,9
"2011-12-21 00:00:00",3.8889932507,9
"2011-12-22 00:00:00",3.9030604205,12
"2011-12-23 00:00:00",3.937965076,10
"2011-12-24 00:00:00",3.9394191186,7
"2011-12-25 00:00:00",4.2338668778,12
"2011-12-26 00:00:00",3.9991219641,11
"2011-12-27 00:00:00",4.0955185459,10
"2011-12-28 00:00:00",4.2072958761,9
"2011-12-29 00:00:00",4.1733522268,9
"2011-12-30 00:00:00",4.31063509,10
"2011-12-31 00:00:00",4.7143063314,12
"2012-01-01 00:00:00",5.2948427773,22
"2012-01-02 00:00:00",5.2048778919,26
"2012-01-03 00:00:00",4.8705088288,26
"2012-01-04 00:00:00",5.5857062671,27
"2012-01-05 00:00:00",6.8740008773,27
"2012-01-06 00:00:00",6.68331664,29
"2012-01-07 00:00:00",6.7962279807,28
"2012-01-08 00:00:00",7.0966505663,30
"2012-01-09 00:00:00",6.2885383425,28
"2012-01-10 00:00:00",6.5284745552,26
"2012-01-11 00:00:00",6.8891277212,29
"2012-01-12 00:00:00",6.7735641958,26
"2012-01-13 00:00:00",6.4543688901,22
"2012-01-14 00:00:00",6.7617271426,23
"2012-01-15 00:00:00",7.0469225582,25
"2012-01-16 00:00:00",6.7156076666,100
"2012-01-17 00:00:00",5.5996219503,51
"2012-01-18 00:00:00",5.9002312881,42
"2012-01-19 00:00:00",6.3157063416,31
"2012-01-20 00:00:00",6.5014919883,32
"2012-01-21 00:00:00",6.1805683255,34
"2012-01-22 00:00:00",6.3029672268,31
"2012-01-23 00:00:00",6.3748760771,29
"2012-01-24 00:00:00",6.2744764757,27
"2012-01-25 00:00:00",5.8104650725,28
"2012-01-26 00:00:00",5.3672269544,27
"2012-01-27 00:00:00",5.303137197,27
"2012-01-28 00:00:00",5.659796775,27
"2012-01-29 00:00:00",5.3914294573,27
